"","P","M","Replicate","m_meanleng","m_sdleng","p_meanleng","p_sdleng","Exposure date","Mortality date","Spore count date","Pasteuria spore count 1","Pasteuria spore count 2","Pasteuria spore count 3","Avg Pasteuria spore load at death (spores/mL)","Metschnikowia spore count 1","Metschnikowia spore count 2","Metschnikowia spore count 3","Avg Metsch spore load at death (spores/mL)","Comments","lifespan.day"
"87",200,1000,"F",55.2814803894825,7.75536607364428,5.47347011887462,0.51199989791736,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-30 05:00:00,2,"2","7",36666.6666666667,106,"113","137",1186666.66666667,"0",24
"88",200,1000,"I",58.6321096920511,2.0997696394928,0,0,2018-01-23 05:00:00,2018-02-12 05:00:00,2019-11-30 05:00:00,14,"39","11",213333.333333333,153,"149","180",1606666.66666667,"0",26
"89",200,2000,"B",56.8267472890043,2.56021383791537,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,80,"77","77",780000,"0",19
"90",200,2000,"E",57.0550534258,1.7440420095279,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-30 05:00:00,1,"1","0",6666.66666666667,84,"76","89",830000,"0",24
"91",200,250,"A",57.776100491324,3.21758206193018,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-22 00:00:00,0,"0","0",0,50,"54","50",513333.333333333,"0",16
"92",200,250,"B",60.7702777169577,2.15753747806933,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,192,"196","NA",1940000,"only 2 counts because some of the slurry was lost due to pipetting error",20
"93",200,250,"C",58.2251212021569,3.48203676517703,0,0,2018-01-23 05:00:00,2018-02-07 05:00:00,2018-04-12 00:00:00,0,"0","0",0,120,"136","137",1310000,"0",21
"94",200,250,"D",58.059134292801,3.32928098355377,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,87,"80","79",820000,"0",22
"95",200,5,"B",0,0,5.90736769789107,0.396354560593567,2018-01-23 05:00:00,2018-03-06 05:00:00,2018-12-21 05:00:00,12,"11","8",103333.333333333,0,"0","0",0,"0",47.4375
"96",200,50,"A",56.3279989431143,3.11084509494437,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,74,"69","73",720000,"0",20
"97",200,50,"B",58.501730674122,4.41792160952527,0,0,2018-01-23 05:00:00,2018-02-07 05:00:00,2018-04-12 00:00:00,0,"0","0",0,112,"131","142",1283333.33333333,"0",21
"98",200,50,"C",60.1644936899916,5.23253810928278,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,73,"102","82",856666.666666667,"0",22
"99",200,50,"F",0,0,5.46450313703605,0.373421480803863,2018-01-23 05:00:00,2018-02-10 05:00:00,2019-01-17 05:00:00,0,"0","0",0,92,"78","87",856666.666666667,"0",24
"100",200,500,"A",56.4005260416733,2.41330783851706,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-28 00:00:00,0,"0","0",0,91,"74","67",773333.333333333,"0",19
"101",200,500,"B",58.1732259886891,3.70495304534985,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,128,"103","119",1166666.66666667,"0",19
"102",200,500,"C",56.9868123985425,2.73258531168952,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,83,"67","105",850000,"0",19
"103",200,500,"D",55.9951594140209,3.22109618839802,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,110,"80","90",933333.333333333,"0",19
"104",200,500,"E",57.85389364963,3.74210292848117,5.55824103176491,0.421673620443407,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,18,"20","25",210000,"0",22
"105",200,500,"F",55.2684220758729,2.23282626409001,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-15 05:00:00,0,"0","0",0,121,"140","143",1346666.66666667,"0",24
"106",200,500,"G",59.0175926955852,2.72110026774511,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-16 05:00:00,0,"0","0",0,94,"122","118",1113333.33333333,"0",24
