Pasteuria dose (spores/mL),Metschnikowia dose (spores/mL),Replicate,Exposure date,Mortality date,Spore count date,Pasteuria spore count 1,Pasteuria spore count 2,Pasteuria spore count 3,Avg Pasteuria spore load at death (spores/mL),Metschnikowia spore count 1,Metschnikowia spore count 2,Metschnikowia spore count 3,Avg Metsch spore load at death (spores/mL),Condition of cadaver (1-3) ,Comments,Column1
200,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,I,1/23/2018,missing,,,,,,,,,,,,
200,250,J,1/23/2018,missing,,,,,,,,,,,,
200,500,A,1/23/2018,2/5/2018,3/28/2018,0,0,0,0,91,74,67,773333,,,
200,500,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,128,103,119,1166667,,,
200,500,C,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,83,67,105,850000,,,
200,500,D,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,110,80,90,933333,,,
200,500,E,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,18,20,25,210000,,,
200,500,F,1/23/2018,2/10/2018,11/15/2018,0,0,0,0,121,140,143,1346667,,,
200,500,G,1/23/2018,2/10/2018,11/16/2018,0,0,0,0,94,122,118,1113333,,,
200,500,H,1/23/2018,2/10/2018,1/14/2018,0,0,0,0,101,98,109,1026667,,,
200,500,I,1/23/2018,2/12/2018,1/12/2018,0,0,0,0,131,92,108,1103333,,,
200,500,J,1/23/2018,2/9/2018,11/26/2018,2,3,1,20000,111,108,119,1126667,,,
200,1000,A,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,48,47,48,476667,,,
200,1000,B,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,45,58,44,490000,,,
200,1000,C,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,72,51,69,640000,,,
200,1000,D,1/23/2018,2/7/2018,4/26/2018,0,0,0,0,48,50,NA,490000,,,
200,1000,E,1/23/2018,2/10/2018,11/16/2018,11,19,15,150000,82,78,9,563333,,,
200,1000,F,1/23/2018,2/10/2018,11/30/2018,2,2,7,36667,106,113,137,1186667,,,
200,1000,G,1/23/2018,2/10/2018,1/12/2018,15,11,10,120000,115,144,132,1303333,,,
200,1000,H,1/23/2018,2/12/2018,7/25/2018,38,33,52,410000,63,63,66,640000,,,
200,1000,I,1/23/2018,2/12/2018,11/30/2019,14,39,11,213333,153,149,180,1606667,,,
200,1000,J,1/23/2018,2/16/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,2000,A,1/23/2018,2/2/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,2000,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,80,77,77,780000,,,
200,2000,C,1/23/2018,2/5/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,2000,D,1/23/2018,2/9/2018,11/28/2019,2,2,2,20000,100,80,97,923333,,,
200,2000,E,1/23/2018,2/10/2018,11/30/2018,1,1,0,6667,84,76,89,830000,,,
200,2000,F,1/23/2018,2/10/2018,1/12/2018,5,0,0,16667,76,81,94,836667,,,
200,2000,G,1/23/2018,2/10/2018,1/14/2018,0,0,0,0,93,105,107,1016667,,,
200,2000,H,1/23/2018,3/1/2018,12/4/2018,1,0,0,3333,0,0,0,0,,,
200,2000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
